idx,ko,en,ko_author,en_author
1,창,Gen,모세,moses
2,출,Exod,모세,moses
3,레,Lev,모세,moses
4,민,Num,모세,moses
5,신,Deut,모세,moses
6,수,Josh,-,-
7,삿,Judg,-,-
8,룻,Ruth,-,-
9,삼상,1Sam,-,-
10,삼하,2Sam,-,-
11,왕상,1Kgs,-,-
12,왕하,2Kgs,-,-
13,대상,1Chr,에스라,ezra
14,대하,2Chr,에스라,ezra
15,스,Ezra,에스라,ezra
16,느,Neh,느헤미야,nehemiah
17,에,Esth,-,-
18,욥,Job,-,-
19,시,Ps,여러명,others
20,잠,Prov,"솔로몬,여러명","solomon,others"
21,전,Eccl,솔로몬,solomon
22,아,Song,솔로몬,solomon
23,사,Isa,이사야,isaiah
24,렘,Jer,예레미야,jeremiah
25,애,Lam,예레미야,jeremiah
26,겔,Ezek,에스겔,ezekiel
27,단,Dan,다니엘,daniel
28,호,Hos,호세아,hosea
29,욜,Joel,요엘,joel
30,암,Amos,아모스,amos
31,옵,Obad,오바,obdiah
32,욘,Jonah,요나,jonah
33,미,Mic,미가,micah
34,나,Nah,나훔,nahum
35,합,Hab,하박국,habakkuk
36,습,Zeph,스바냐,zephaniah
37,학,Hag,학개,haggai
38,슥,Zech,스가랴,zechariah
39,말,Mal,말라기,malaki
40,마,Matt,마태,matthew
41,막,Mark,마가,john_mark
42,눅,Luke,누가,luke
43,요,John,요한,john
44,행,Acts,누가,luke
45,롬,Rom,바울,paul
46,고전,1Cor,바울,paul
47,고후,2Cor,바울,paul
48,갈,Gal,바울,paul
49,엡,Eph,바울,paul
50,빌,Phil,바울,paul
51,골,Col,바울,paul
52,살전,1Thess,바울,paul
53,살후,2Thess,바울,paul
54,딤전,1Tim,바울,paul
55,딤후,2Tim,바울,paul
56,딛,Titus,바울,paul
57,몬,Phlm,바울,paul
58,히,Heb,-,-
59,약,Jas,야고보,james
60,벧전,1Pet,베드로,peter
61,벧후,2Pet,베드로,peter
62,요일,1John,요한,john
63,요이,2John,요한,john
64,요삼,3John,요한,john
65,유,Jude,유다,jude
66,계,Rev,요한,john
