headword,ne
가나,place
가나안,place
가다라,place
가데스,place
가데스 바네아,place
가드,place
가드림몬,place
가드헤벨,place
가렘,place
가롯,place
가르나임,place
가르다,place
가르단,place
가몬,place
가바,place
가바다,place
가바도기아,place
가버나움,place
가볼,place
가불,place
가사,place
가시뱌,place
가아스,place
가우다,place
가이,place
가이사랴,place
가이사랴 빌립보,place
갈가,place
갈그미스,place
갈대아,place
갈라,place
갈라디아,place
갈레,place
갈렙에브라다,place
갈로,place
갈르엣,place
갈릴리,place
갈릴리 바다,place
갈림,place
갈멜산,place
갈보리,place
감람산,place
갑돌,place
갑스엘,place
갓닷,place
갓몬,place
거라사,place
거십,place
게네사렛 호수,place
게데스,place
게드론 혹 기드론,place
게빔,place
게셀,place
게헨나,place
겐그레아,place
겟세마네,place
고라산,place
고라신,place
고린도,place
고모라,place
고산하볼,place
고센,place
고스,place
고아,place
고앗,place
고임,place
골고다,place
골란,place
골로새,place
구다,place
구레네,place
구르,place
구르바알,place
구브로,place
군,place
굽,place
굿고다,place
그니스,place
그데라,place
그데로다임,place
그데롯,place
그데못,place
그랄,place
그레데,place
그렛,place
그리바,place
그리심산,place
그리욧 헤스론,place
그리욧,place
그릿시내,place
그발,place
그발 암모니,place
그살론,place
그술,place
그술롯,place
그시스,place
그실,place
그십,place
그일라,place
그헬라다,place
글릴롯,place
기돈,place
기돔,place
기드론,place
기럇 세벨,place
기럇 알바,place
기럇 여아림,place
기럇 후솟,place
기랴다임,place
기럇,place
기럇바알,place
기럇산나,place
기르가스,place
기르스,place
기브롯 핫다아와,place
기브아,place
기브온,place
기손강,place
기슬롯 다불,place
기시온,place
기아,place
기오,place
기틀리스,place
기혼,place
긴네렛,place
긴네롯,place
길,place
길갈,place
길로,place
길르앗라못,place
길리기아,place
길맛,place
길보아,place
길하라셋,place
길하레스,place
길헤레스,place
깁브돈,place
깁사임,place
깃딤,place
나사렛,place
나아란,place
나아마,place
나욧,place
나인,place
나일강,place
나할랄,place
낙원,place
네겝,place
네아,place
네압볼리,place
넵도아,place
노바,place
노아몬,place
놉,place
놋,place
느도바,place
느발랏,place
느보,place
느십,place
느이엘,place
니고볼리,place
니느웨,place
니도,place
니므라,place
니므림,place
다냐안,place
다드몰,place
다랄라,place
다말,place
다메섹,place
다바네스,place
다베라,place
다볼,place
다브랏,place
다소,place
다시스,place
다아낙,place
다핫,place
단,place
단나,place
달마누다,place
답밧,place
답베셋,place
답부아,place
닷딤훗시,place
