idx,ko,en,ko_topic,en_topic
1,창,Gen,"사람의 창조와 타락, 하나님이 구원을 약속하심",Genesis answers two big questions: “How did God’s relationship with the world begin?” and “Where did the nation of Israel come from?”
2,출,Exod,이스라엘 민족이 이집트 노예에서 홍해를 건너 광야로 이동한 이야기,"God saves Israel from slavery in Egypt, and then enters into a special relationship with them."
3,레,Lev,"레위 지파의 제사와 성막, 율법에 관한 책",God gives Israel instructions for how to worship Him.
4,민,Num,"시내산에서 가나안 정복까지, 40년간의 광야 생활에 관한 이야기","Israel fails to trust and obey God, and wanders in the"
5,신,Deut,"가나안 입국 전, 이스라엘의 생활중 하나님의 율법을 따름","Moses gives Israel instructions (in some ways, a recap of the laws in Exodus–Numbers) for how to love and obey God in the Promised Land."
6,수,Josh,여호수아의 가나안땅 정복의 역사,"Joshua (Israel’s new leader) leads Israel to conquer the Promised land, then parcels out territories to the twelve tribes of Israel."
7,삿,Judg,이스라엘 백성들의 300년간의 가나안 정착사,"Israel enters a cycle of turning from God, falling captive to oppressive nations, calling out to God, and being rescued by leaders God sends their way (called “judges”)."
8,룻,Ruth,혼란한 사사 시대에 있었던 한 가정의 이야기,"Two widows lose everything, and find hope in Israel—which leads to the birth of the future King David."
9,삼상,1Sam,"사무엘, 사울의 이스라엘 통치 이야기","Israel demands a king, who turns out to be quite a disappointment."
10,삼하,2Sam,다윗의 이스라엘 통치 이야기,"David, a man after God’s own heart, becomes king of Israel."
11,왕상,1Kgs,"솔로몬이, 다윗이 염원하던 성전을 건축하고, 이스라엘을 통치한 이야기","The kingdom of Israel has a time of peace and prosperity under King Solomon, but afterward splits, and the two lines of kings turn away from God."
12,왕하,2Kgs,북 왕국의 앗시리아에 의한 멸망과 남 왕국의 바빌로니아에 멸망하기 까지,"Both kingdoms ignore God and his prophets, until they both fall captive to other world empires."
13,대상,1Chr,이스라엘 족속들의 계보를 중심으로 역사를 기록함,"This is a brief history of Israel from Adam to David, culminating with David commissioning the temple of God in Jerusalem."
