idx,ko,ko_types,en,en_types
1,창,모세오경,Gen,books_of_the_laws
2,출,모세오경,Exod,books_of_the_laws
3,레,모세오경,Lev,books_of_the_laws
4,민,모세오경,Num,books_of_the_laws
5,신,모세오경,Deut,books_of_the_laws
6,수,역사서,Josh,history
7,삿,역사서,Judg,history
8,룻,역사서,Ruth,history
9,삼상,역사서,1Sam,history
10,삼하,역사서,2Sam,history
11,왕상,역사서,1Kgs,history
12,왕하,역사서,2Kgs,history
13,대상,역사서,1Chr,history
14,대하,역사서,2Chr,history
15,스,역사서,Ezra,history
16,느,역사서,Neh,history
17,에,역사서,Esth,history
18,욥,시가서,Job,poetry
19,시,시가서,Ps,poetry
20,잠,시가서,Prov,poetry
21,전,시가서,Eccl,poetry
22,아,시가서,Song,poetry
23,사,대선지서,Isa,major_prophets
24,렘,대선지서,Jer,major_prophets
25,애,대선지서,Lam,major_prophets
26,겔,대선지서,Ezek,major_prophets
27,단,대선지서,Dan,major_prophets
28,호,소선지서,Hos,minor_prophets
29,욜,소선지서,Joel,minor_prophets
30,암,소선지서,Amos,minor_prophets
31,옵,소선지서,Obad,minor_prophets
32,욘,소선지서,Jonah,minor_prophets
33,미,소선지서,Mic,minor_prophets
34,나,소선지서,Nah,minor_prophets
35,합,소선지서,Hab,minor_prophets
36,습,소선지서,Zeph,minor_prophets
37,학,소선지서,Hag,minor_prophets
38,슥,소선지서,Zech,minor_prophets
39,말,소선지서,Mal,minor_prophets
40,마,4복음서,Matt,gospels
41,막,4복음서,Mark,gospels
42,눅,4복음서,Luke,gospels
43,요,4복음서,John,gospels
44,행,역사서,Acts,history
45,롬,바울서신,Rom,pauline_epistles
46,고전,바울서신,1Cor,pauline_epistles
47,고후,바울서신,2Cor,pauline_epistles
48,갈,바울서신,Gal,pauline_epistles
49,엡,바울서신,Eph,pauline_epistles
50,빌,바울서신,Phil,pauline_epistles
51,골,바울서신,Col,pauline_epistles
52,살전,바울서신,1Thess,pauline_epistles
53,살후,바울서신,2Thess,pauline_epistles
54,딤전,바울서신,1Tim,pauline_epistles
55,딤후,바울서신,2Tim,pauline_epistles
56,딛,바울서신,Titus,pauline_epistles
57,몬,바울서신,Phlm,pauline_epistles
58,히,공동서신,Heb,epistles
59,약,공동서신,Jas,epistles
60,벧전,공동서신,1Pet,epistles
61,벧후,공동서신,2Pet,epistles
62,요일,공동서신,1John,epistles
63,요이,공동서신,2John,epistles
64,요삼,공동서신,3John,epistles
65,유,공동서신,Jude,epistles
66,계,예언서,Rev,apocalyptic
