창,출,레,민,신,수,삿,룻,삼상,삼하,왕상,왕하,대상,대하,스,느,에,욥,시,잠,전,아,사,렘,애,겔,단,호,욜,암,옵,욘,미,나,합,습,학,슥,말,마,막,눅,요,행,롬,고전,고후,갈,엡,빌,골,살전,살후,딤전,딤후,딛,몬,히,약,벧전,벧후,요일,요이,요삼,유,계
31,22,17,54,46,18,36,22,28,27,53,18,54,17,11,11,22,22,6,33,18,17,31,19,22,28,21,11,20,15,21,17,16,15,17,18,15,21,14,25,45,80,51,26,32,31,24,24,23,30,29,10,12,20,18,16,25,14,27,25,21,10,13,15,25,20
25,25,16,34,37,24,23,23,36,32,46,25,55,18,70,20,23,13,12,22,26,17,22,37,22,10,49,23,32,16,,10,13,13,20,15,23,13,17,23,28,52,25,47,29,16,17,21,22,30,23,20,17,15,26,15,,18,26,25,22,29,,,,29
24,22,17,51,29,17,31,18,21,39,28,27,24,17,13,32,15,26,8,35,22,11,26,25,66,27,30,5,21,15,,10,12,19,19,20,,10,18,17,35,38,36,26,31,23,18,29,21,21,25,13,18,16,17,15,,19,18,22,18,24,,,,22
26,31,35,49,49,24,24,22,22,12,34,44,43,22,24,23,17,21,8,27,16,16,6,31,22,17,37,19,,13,,11,13,,,,,14,6,25,41,44,54,37,25,21,18,31,32,23,18,18,,16,22,,,16,17,19,,21,,,,11
32,23,19,31,33,15,31,,12,25,18,27,26,14,17,19,14,27,12,23,20,16,30,31,22,17,31,15,,27,,,15,,,,,11,,48,43,39,47,42,21,13,21,26,33,,,28,,25,,,,14,20,14,,21,,,,14
22,30,30,27,25,27,40,,21,23,38,33,81,42,22,19,14,30,10,35,12,14,13,30,,14,28,11,,14,,,16,,,,,15,,34,56,49,71,15,23,20,18,18,24,,,,,21,,,,20,,,,,,,,17
24,25,38,89,26,26,25,,17,29,51,20,40,22,28,73,10,21,17,27,29,13,25,34,,27,28,16,,17,,,20,,,,,14,,29,37,50,53,60,25,40,16,,,,,,,,,,,28,,,,,,,,17
22,32,36,26,20,35,35,,22,18,66,29,40,18,36,18,17,22,9,36,17,14,22,22,,18,27,14,,14,,,,,,,,23,,34,38,56,59,40,39,13,24,,,,,,,,,,,13,,,,,,,,13
29,35,24,23,29,27,57,,27,13,28,37,44,31,15,38,32,35,20,18,18,,21,26,,11,27,17,,15,,,,,,,,17,,38,50,62,41,43,33,27,15,,,,,,,,,,,28,,,,,,,,21
32,29,20,36,22,43,18,,27,19,29,36,14,19,44,39,3,22,18,32,20,,34,25,,22,21,15,,,,,,,,,,12,,42,52,42,42,48,21,33,18,,,,,,,,,,,39,,,,,,,,11
32,10,47,35,32,23,40,,15,27,43,21,47,23,,36,,20,7,31,10,,16,23,,25,45,12,,,,,,,,,,17,,30,33,54,57,30,36,34,33,,,,,,,,,,,40,,,,,,,,19
20,51,8,16,32,24,15,,25,31,33,21,40,16,,47,,25,8,28,14,,6,17,,28,13,14,,,,,,,,,,14,,50,44,59,50,25,21,31,21,,,,,,,,,,,29,,,,,,,,17
18,22,59,33,18,33,25,,23,39,34,25,14,22,,31,,28,6,25,,,22,27,,23,,16,,,,,,,,,,9,,58,37,35,38,52,14,13,13,,,,,,,,,,,25,,,,,,,,18
24,31,57,45,29,15,20,,52,33,31,29,17,15,,,,22,7,35,,,32,22,,23,,9,,,,,,,,,,21,,36,72,35,31,28,23,40,,,,,,,,,,,,,,,,,,,,20
21,27,33,41,23,63,20,,35,37,34,38,29,19,,,,35,5,33,,,9,21,,8,,,,,,,,,,,,,,39,47,32,27,41,33,58,,,,,,,,,,,,,,,,,,,,8
16,36,34,50,22,10,31,,23,23,34,20,43,14,,,,22,11,33,,,14,21,,63,,,,,,,,,,,,,,28,20,31,33,40,27,24,,,,,,,,,,,,,,,,,,,,21
27,16,16,13,20,18,13,,58,29,24,41,27,19,,,,16,15,28,,,14,27,,24,,,,,,,,,,,,,,27,,37,26,34,,,,,,,,,,,,,,,,,,,,,,18
33,27,30,32,22,28,31,,30,33,46,37,17,34,,,,21,50,24,,,7,23,,32,,,,,,,,,,,,,,35,,43,40,28,,,,,,,,,,,,,,,,,,,,,,24
38,25,37,22,21,51,30,,24,43,21,37,19,11,,,,29,14,29,,,25,15,,14,,,,,,,,,,,,,,30,,48,42,41,,,,,,,,,,,,,,,,,,,,,,21
18,26,27,29,20,9,48,,42,26,43,21,8,37,,,,29,9,30,,,6,18,,49,,,,,,,,,,,,,,34,,47,31,38,,,,,,,,,,,,,,,,,,,,,,15
34,36,24,35,23,45,25,,15,22,29,26,30,20,,,,34,13,31,,,17,14,,32,,,,,,,,,,,,,,46,,38,25,40,,,,,,,,,,,,,,,,,,,,,,27
24,31,33,41,30,34,,,23,51,53,20,19,12,,,,30,31,29,,,25,30,,31,,,,,,,,,,,,,,46,,71,,30,,,,,,,,,,,,,,,,,,,,,,21
20,33,44,30,25,16,,,29,39,,37,32,21,,,,17,6,35,,,18,40,,49,,,,,,,,,,,,,,39,,56,,35,,,,,,,,,,,,,,,,,,,,,,
67,18,23,25,22,33,,,22,25,,20,31,27,,,,25,10,34,,,23,10,,27,,,,,,,,,,,,,,51,,53,,27,,,,,,,,,,,,,,,,,,,,,,
34,40,55,18,19,,,,44,,,30,31,28,,,,6,22,28,,,12,38,,17,,,,,,,,,,,,,,46,,,,27,,,,,,,,,,,,,,,,,,,,,,
35,37,46,65,19,,,,25,,,,32,23,,,,14,12,28,,,21,24,,21,,,,,,,,,,,,,,75,,,,32,,,,,,,,,,,,,,,,,,,,,,
46,21,34,23,26,,,,12,,,,34,9,,,,23,14,27,,,13,22,,36,,,,,,,,,,,,,,66,,,,44,,,,,,,,,,,,,,,,,,,,,,
22,43,,31,68,,,,25,,,,21,27,,,,28,9,28,,,29,17,,26,,,,,,,,,,,,,,20,,,,31,,,,,,,,,,,,,,,,,,,,,,
35,46,,40,29,,,,11,,,,30,36,,,,25,11,27,,,24,32,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,38,,16,20,,,,30,,,,,27,,,,31,12,33,,,33,24,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,18,,54,30,,,,13,,,,,21,,,,40,24,31,,,9,40,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,35,,42,52,,,,,,,,,33,,,,22,11,,,,20,44,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,,56,29,,,,,,,,,25,,,,33,22,,,,24,26,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,35,,29,12,,,,,,,,,33,,,,37,22,,,,17,22,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
